sentence,tokens,max_depth,clauses,pos_distribution,german_features
"Das wüsste man nicht, kam die Antwort, heute sei man im Verzug aber mindestens noch eine halbe Stunde.",21,4,1,"{'DET': 3, 'VERB': 2, 'PRON': 2, 'PART': 1, 'PUNCT': 3, 'NOUN': 3, 'ADV': 4, 'AUX': 1, 'ADP': 1, 'ADJ': 1}","{'modal_particles': [], 'compounds': []}"
"Es gab aber kein Abschlussgespräch, in dem nochmal alles zusammengefasst wurde und auf Detailfragen und vor allem das weitere Vorgehen geklärt werden konnten, obwohl ich mehrmals danach gefragt hatte.",32,9,1,"{'PRON': 5, 'VERB': 3, 'ADV': 5, 'DET': 2, 'NOUN': 3, 'PUNCT': 3, 'ADP': 3, 'AUX': 4, 'CCONJ': 2, 'ADJ': 1, 'SCONJ': 1}","{'modal_particles': [], 'compounds': ['Abschlussgespräch', 'Detailfragen']}"
"Zu Anfang macht man viele Angaben die notiert werden, nur guckt niemand in die Unterlagen rein, weshalb man sich ständig wiederholen muss.",25,4,1,"{'ADP': 2, 'NOUN': 3, 'VERB': 4, 'PRON': 4, 'DET': 3, 'AUX': 1, 'PUNCT': 3, 'ADV': 3, 'SCONJ': 1, 'PROPN': 1}","{'modal_particles': [], 'compounds': []}"
"Freundlich, nimmt sich Zeit, nette Arzthelferinnen,",9,3,1,"{'ADV': 1, 'PUNCT': 3, 'VERB': 1, 'PRON': 1, 'NOUN': 2, 'ADJ': 1}","{'modal_particles': [], 'compounds': ['Arzthelferinnen']}"
"Kompetenter, netter und sympathischer Arzt",6,4,1,"{'NOUN': 2, 'PUNCT': 1, 'ADJ': 2, 'CCONJ': 1}","{'modal_particles': [], 'compounds': ['Kompetenter', 'sympathischer']}"
Ich wollte ihr nur klar machen das dass nicht O.,10,3,1,"{'PRON': 3, 'AUX': 1, 'ADV': 2, 'VERB': 1, 'NOUN': 1, 'PART': 1, 'PROPN': 1}","{'modal_particles': [], 'compounds': []}"
Gewiss ist eine sehr kompetente Ärztin und nimmt sich die notwendige Zeit für den Patient.,16,5,1,"{'NOUN': 4, 'AUX': 1, 'DET': 3, 'ADV': 1, 'ADJ': 2, 'CCONJ': 1, 'VERB': 1, 'PRON': 1, 'ADP': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
Hat sich Zeit genommen ind gründlich untersucht.,8,3,1,"{'AUX': 1, 'PRON': 1, 'NOUN': 2, 'VERB': 2, 'ADV': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': []}"
"Sehr kompetente und nette Ärztin, die sich viel Zeit für den Patienten nimmt.",15,4,1,"{'ADV': 1, 'ADJ': 2, 'CCONJ': 1, 'NOUN': 3, 'PUNCT': 2, 'PRON': 2, 'DET': 2, 'ADP': 1, 'VERB': 1}","{'modal_particles': [], 'compounds': []}"
Das Zahnarztzentrum allgemein ist sehr modern und sauber.,9,3,1,"{'DET': 1, 'NOUN': 1, 'ADV': 4, 'AUX': 1, 'CCONJ': 1, 'PUNCT': 1}","{'modal_particles': [], 'compounds': ['Zahnarztzentrum']}"
