doc_id,sent_id,sentence,token_count,char_count,rating,topic,topic_prob
6262,0,Als Kinder- und Jugend-Endokrinologe ist Hr.,6,44,1.0,-1,0.017145228847980653
6622,0,Am 01.08.17 wurde mir von Herrn Dr.,7,35,1.0,8,1.0
5891,2,Empathie scheint bei ihr nur bei Privatpatienten zu funktionieren!!,9,67,5.0,-1,0.030277486385726644
3969,0,Und ich muss das ausführlich erklären.,6,38,6.0,-1,0.09659606740381514
2591,4,"Gaigl mir erstmal seine Hand gereicht und dann zu verstehen gegeben, dass er nichts von „de Maßnahmen der Regierung beziehungsweise einer Physikerin (womit er die Bundeskanzlerin gemeint hat) hält“.",29,198,6.0,-1,0.03336381712030197
7147,0,"von drei Besuchen, verliefen alle 3 leider unzufriedenstellend.",8,63,4.0,-1,0.008650850518950736
7821,0,Leider ist die Praxis IMMER überfüllt.,6,38,2.0,29,1.0
919,1,Larsen und gehe jährlich zum Ganzkörpercheck.,6,45,1.0,-1,0.08944206504122199
5379,1,"Durch ihre Kompetenz und ihre ehrliche Meinung habe ich nicht das Gefühl,das sie mir überteuerte Matrealien empfiehlt.",17,118,1.0,-1,0.052531343986592934
1638,4,"Nicht bei der Sache, unfreundlich bei den gestellten Fragen.",9,60,2.0,-1,0.10361193833598123
6173,7,"Sperl, dass er mir endlich helfen kann.",7,39,1.0,19,0.2948381302205171
1965,1,Zu guter Letzt wurde auch noch ein Medikament zur Behandlung der behaarten Kopfhaut statt ein Mittel gegen Ohrenschmerzen bzw.,19,126,6.0,4,0.13678353612583155
4691,5,Hier hat jemand den falschen Beruf gewählt.,7,43,6.0,-1,0.098452544277895
3384,2,"Das ist nicht schön in einer Schwangerschaft, man macht sich schon genug Sorgen und erwartet, dass die betreuende Frauenärztin diese weniger und nicht mehr macht.",25,162,4.0,0,0.2059782332773619
5520,0,Ich bin heute zum ersten mal (trotz schlechter Kritiken auf anderen Internet-Seiten) zu Frau Dr.,15,96,1.0,-1,0.011468470951101763
682,3,Direkt zu einem anderen gegangen welcher sofort die Ursache herausgefunden hat.,11,79,6.0,-1,0.059324434242290586
2261,0,"Gerlach hat mir mein Implantat gesetzt, und es sitzt spitze.",10,60,1.0,-1,0.037280390779331075
7447,0,"Ausführliche Anamnese und Diagnostik, umfassende Aufklärung und gründliche Behandlung: damit fällt diese Praxis auf.",14,116,2.0,-1,0.013020964183698146
4404,1,Herr Stellwag ist sehr kompetent und gründlich und erklärt die Situation verständlich und nachvollziehbar.,14,106,1.0,2,0.0939581489672359
4365,0,"Ich bin zu Frau Geuer gegangen, als sie ihre Praxis noch in Berlin-Mariendorf hatte.",14,84,6.0,-1,0.012305050100698774
3122,3,Ich kann diese Praxis nur weiterempfehlen.,6,42,2.0,9,1.0
5522,1,"Wenn es jedoch darauf ankommt das man Beratung, Betreuung oder informationen braucht, würde ich die Praxis nicht empfehlen.",18,123,4.0,26,1.0
3031,4,"Keine Aufklärung bei Kinderwunsch, unterkühlte Reaktion auf Fehlgeburt, zur Ausschabung überwiesen ohne Aufklärung.",13,115,6.0,4,0.08766204469999853
1602,3,"Während eines Telefonats hat Sie einfach ""Tschüss"" gesagt und den Hörer aufgelegt.",12,82,2.0,-1,0.010461741737163138
395,6,Doukas sehen und der lang erwartete Termin war ein Witz!,10,56,5.0,-1,0.012543059547358985
7696,2,Geht ruppig an das Kind um es oberflächlich zu untersuchen.,10,59,6.0,0,0.23410918137609954
5662,1,"Ich hatte ein bißchen Angst, aber die Ärztin und die Sprechstundenhilfe haben mir wunderbar über meine Bedenken hinweggeholfen.",18,127,2.0,-1,0.08956265503457643
6950,3,"Ehses einige Frage zu dem Laborergebnis nicht stellen durfte (""Der Doktor habe es nicht gerne, dass man ihm Fragen stellt"") und man solle den Hausarzt fragen (der den Patienten zum Spezialisten schickt, WEIL er sich selbst nicht auskennt!), habe ich einen anderen Arzt aufgesucht, den ich jederzeit fragen darf.",49,311,4.0,-1,0.08206206416220498
3640,2,"Also legte ich auf und ging um 13:30 zur Prsxis, die heute bis 14 Uhr geöffnet hatte.",17,85,4.0,37,1.0
5953,7,"Schon allein der Terminkalender, hier kann ich mir meinen eigenen Termin aussuchen, stornieren und muss nicht ständig anrufen - TOLL!",20,133,1.0,-1,0.06247118374138349
2664,2,"Unsere Gynäkologin hat sich freundlicherweise angeboten, sich in unserem Namen zu beschweren.",12,93,5.0,-1,0.04508373531484269
2921,0,Ich hatte bereits eine festgestellte eitrige Mandelentzündung und suchte Dr.,10,76,6.0,-1,0.20668006666022787
3154,3,Plötzlich hat die Person einfach ohne weiteres aufgelegt...,8,59,2.0,-1,0.008423355979115766
304,0,"Freundlich, nimmt sich Zeit, nette Arzthelferinnen,",6,51,2.0,1,1.0
404,0,"Ich schließe mich den vielen Vorrednern an, die sich über die extreme Unfreundlichkeit Frau Novakovics geäußert haben.",17,118,6.0,-1,0.00941720548710969
5711,0,"angenehme athmosphäre, nimmt sich zeit. gut als hausarzt geeignet.",9,66,1.0,2,0.15131805834686782
5402,3,Auch das Praxispersonal entsprach in Punkto Freundlichkeit und Kompetenz nicht meinen Vorstellungen.,12,100,3.0,-1,0.012677481012171532
5243,0,"Eine sehr sehr nette ärtzin, klärt immer super auf, freu mich immer wieder wenn ich hin gehe",17,92,1.0,-1,0.03362323939220675
2176,0,"Im großen und ganzen gut, da man nie fallen gelassen wurde oder ähnliches.",13,74,2.0,-1,0.011173213495967426
2706,0,Zwei harmlose Muttermale entfernen lassen.,5,42,6.0,-1,0.07803606183613579
7241,9,In meiner Wahrnehmung und nach meinen Beobachtungen ist jede Untersuchung und Behandlung in den letzten 7 Jahren durch Dr.,19,122,1.0,-1,0.00683735500609953
472,0,"Birkner ist sehr freundlich und hört zu, jedoch gibt es selten eine Behandlung.",13,79,4.0,-1,0.07894767026882371
1832,0,"und geht auf jeden Patienten ein und nimmt sich Zeit für ihn, wofür man auch mal gern eine kleine Weile im Wartezimmer wartet.",23,126,1.0,2,0.1342198421106235
3877,2,Vor einigen Wochen habe ich einen Termin für meinen Sohn vereinbaren wollen.,12,76,2.0,13,0.17654751155195733
3402,0,gute Betreuung seit 7 Jahren mit Entdeckung eines Harnsteines und dessen operative Beseitigung; Arzt hat mein volles Vertrauen.,18,127,2.0,-1,0.17193371171476185
3318,0,"Sehr nette Mitarbeiter, sehr schnelle terminvergaben.",6,53,2.0,14,0.3215154311305686
7702,5,Welchen Eid haben Sie eigentlich zu Beginn Ihrer Laufbahn abgelegt?,10,67,6.0,-1,0.009872189088460642
3334,1,"Durch verschiedene Methoden und Tipps half er mir dabei, mir selbst zu helfen.",13,78,2.0,-1,0.014388912601463794
1690,2,"Dröge die Diagnose meiner rheumatischen Erkrankung infrage gestellt, ja sogar falsifiziert.",11,91,5.0,4,0.3394837499557287
2943,2,Haase hörte sich meine Beschwerden an.,6,38,5.0,-1,0.06401717015747053
6650,2,"Einen kurzfristigen Termin bekam ich, war natürlich nicht die einzige Patientin.",11,80,2.0,-1,0.015133175338119696
7234,4,Beim ersten Mal vor ca.,5,23,4.0,-1,0.050247636181241055
2413,2,Personal war normal freundlich und erschien kompetent; 4.,8,57,1.0,3,0.40151393826209375
6160,3,Die Ärztin ist nicht zu empfehlen.,6,34,4.0,9,0.038093862306391967
2356,0,"Nach langer Wartezeit, obwohl Termin, wurden mir weitere Untersuchungen ans Herz gelegt, die natürlich auf meine Kosten gehen.",18,126,5.0,-1,0.07270058492059903
4055,0,"Ich habe mich bei diesem Arzt nicht gut aufgehoben gefühlt, er mag kompetent sein und hat mir auch direkt das Medikament gegeben, das ich wollte.",25,145,5.0,-1,0.10212877466084055
6912,3,Hirt nach Schilderung meiner 'verzweifelten' Lage am selben Tag einen Termin!!!,11,79,1.0,-1,0.03665600345921649
6625,3,"Auch die Krankengymnastik war Minimum, obwohl das noch lange nicht gut war.",12,75,6.0,-1,0.009314164306101696
3986,6,"Ortmann, der ein sehr kompetenter Arzt ist, ist leider nur noch gehetzt und unfreundlich.",14,89,5.0,-1,0.01158559566479673
3547,1,"Unabhängig davon, ob man akute Schmerzen hat, wird einem trotzdem der früheste Termin erst in 1 Monat angeboten, oder als Selbstzahler sehr gerne jederzeit.",24,156,5.0,-1,0.06829462181814246
5122,0,"Ausführliches Gespräch, Rezept und Befund werden mit Anmerkung nach Hause geschickt,so spart sich der Patient auch Zeit und Weg, für Fragen telefonisch erreichbar.",23,163,2.0,-1,0.0376141543883018
7537,1,"Trotz Termin 2 std wartezeit, die Empfangsdame ist sehr unfreundlich und scheint keine Lust auf ihren Job zu haben, die Gehilfin scheint genauso Lustlos zu sein, hygienisch unzumutbar, praxis zu klein für die Anzahl der aufgenommenen Patienten, eine Ärztin war sehr unfreundlich zu einer Patientin, ein absolutes NO GO!!!",49,321,4.0,36,0.2787295366535753
745,5,"Ich habe mir eine andere Praxis suchen müssen, in der man mir auch erklärte, dass man nicht an der Halswirbelsäule ""herumrenken"" darf....",22,137,6.0,-1,0.022834786378363392
3764,5,Ich würde die Praxis nicht empfehlen.,6,37,4.0,9,0.08139928868758055
6079,3,Auf mich wirkt er zudem auch gründlich und kompetent!,9,53,2.0,3,0.7867784953484959
7603,2,"Heute traf ich eine andere Assistentin an, als beim ersten Mal nur zur Beantragung eines Hörgerätes, aber sie entpuppte sich ebenfalls als ausgesprochen unfreundlich bei der Anmeldung.",27,184,2.0,-1,0.12921585689930434
4228,1,"Positiv ist, dass es kaum Wartezeit gibt und man schnell Termine kriegt.",12,72,3.0,40,1.0
813,2,Nach 2 Stunden Wartezeit (mit Termin wohlgemerkt) wurde ich zum Chef-Hai vorgelassen.,12,85,6.0,-1,0.04917880775564992
6667,1,"Allerdings sehr lange Wartezeiten trotz Termin, was sehr nervig sein kann.",11,74,2.0,-1,0.009040762890532149
5317,0,Gewiss ist eine sehr kompetente Ärztin und nimmt sich die notwendige Zeit für den Patient.,15,90,2.0,2,1.0
391,1,Die Sprechstundenhelferinnen sind sehr freundlich.,5,50,6.0,3,0.2675440127363574
1304,1,Dr. war noch nicht anwesend.,5,28,5.0,10,0.16044172141757476
7529,1,Kind hat fieber und bricht vor husten.,7,38,6.0,-1,0.05502907184991177
2496,4,Habe gut Zahnsubstanz nur bei solchen Zahnärzten lässt es mich zweifeln.,11,72,5.0,-1,0.040077095065508654
210,3,Nora Wendorff-van Riesen weitestgehend wieder genommen.,6,55,2.0,4,0.07729181381416456
